question,gold_doc,gold_pages,hit_strict@1,hit_strict@3,hit_strict@5,hit_soft@1,hit_soft@3,hit_soft@5,retrieved_topk
什么是冯·诺依曼结构？,co,[14],0,1,1,0,1,1,"[{""doc_id"": ""co"", ""page"": 26, ""chunk_id"": 2, ""score"": 0.5996500253677368}, {""doc_id"": ""co"", ""page"": 14, ""chunk_id"": 1, ""score"": 0.59684157371521}, {""doc_id"": ""co"", ""page"": 14, ""chunk_id"": 2, ""score"": 0.5579726696014404}, {""doc_id"": ""os_tutorial"", ""page"": 274, ""chunk_id"": 3, ""score"": 0.4989725649356842}, {""doc_id"": ""co"", ""page"": 27, ""chunk_id"": 0, ""score"": 0.4894898235797882}]"
CPU 的功能是什么？,co,[343],0,1,1,0,1,1,"[{""doc_id"": ""co"", ""page"": 223, ""chunk_id"": 0, ""score"": 0.7251952886581421}, {""doc_id"": ""co"", ""page"": 343, ""chunk_id"": 0, ""score"": 0.7148491144180298}, {""doc_id"": ""co"", ""page"": 431, ""chunk_id"": 1, ""score"": 0.7063132524490356}, {""doc_id"": ""co"", ""page"": 431, ""chunk_id"": 2, ""score"": 0.691278338432312}, {""doc_id"": ""os_tutorial"", ""page"": 338, ""chunk_id"": 1, ""score"": 0.6865593194961548}]"
什么是指令周期？,co,[348],0,1,1,0,1,1,"[{""doc_id"": ""co"", ""page"": 360, ""chunk_id"": 2, ""score"": 0.6838533878326416}, {""doc_id"": ""co"", ""page"": 348, ""chunk_id"": 1, ""score"": 0.6804202795028687}, {""doc_id"": ""co"", ""page"": 391, ""chunk_id"": 1, ""score"": 0.6570104360580444}, {""doc_id"": ""co"", ""page"": 349, ""chunk_id"": 2, ""score"": 0.642370343208313}, {""doc_id"": ""co"", ""page"": 381, ""chunk_id"": 0, ""score"": 0.6374596953392029}]"
指令周期的基本阶段有哪些？,co,[348],0,0,1,0,1,1,"[{""doc_id"": ""co"", ""page"": 360, ""chunk_id"": 2, ""score"": 0.670789897441864}, {""doc_id"": ""co"", ""page"": 349, ""chunk_id"": 2, ""score"": 0.6695617437362671}, {""doc_id"": ""co"", ""page"": 381, ""chunk_id"": 0, ""score"": 0.664729118347168}, {""doc_id"": ""co"", ""page"": 391, ""chunk_id"": 1, ""score"": 0.6594029664993286}, {""doc_id"": ""co"", ""page"": 348, ""chunk_id"": 1, ""score"": 0.6571030616760254}]"
什么是流水线技术？,co,[363],0,0,0,1,1,1,"[{""doc_id"": ""co"", ""page"": 362, ""chunk_id"": 1, ""score"": 0.5926997661590576}, {""doc_id"": ""co"", ""page"": 364, ""chunk_id"": 1, ""score"": 0.5749338865280151}, {""doc_id"": ""co"", ""page"": 352, ""chunk_id"": 2, ""score"": 0.5715080499649048}, {""doc_id"": ""co"", ""page"": 362, ""chunk_id"": 0, ""score"": 0.567366361618042}, {""doc_id"": ""co"", ""page"": 353, ""chunk_id"": 2, ""score"": 0.5627857446670532}]"
什么是 高速缓存 Cache？,co,[115],0,1,1,0,1,1,"[{""doc_id"": ""os_tutorial"", ""page"": 159, ""chunk_id"": 2, ""score"": 0.7337138652801514}, {""doc_id"": ""co"", ""page"": 115, ""chunk_id"": 2, ""score"": 0.7246893644332886}, {""doc_id"": ""os_tutorial"", ""page"": 159, ""chunk_id"": 3, ""score"": 0.7243547439575195}, {""doc_id"": ""os_tutorial"", ""page"": 259, ""chunk_id"": 1, ""score"": 0.7208413481712341}, {""doc_id"": ""co"", ""page"": 115, ""chunk_id"": 1, ""score"": 0.7190659642219543}]"
什么是局部性原理？,co,[194],0,0,0,0,0,0,"[{""doc_id"": ""os_tutorial"", ""page"": 64, ""chunk_id"": 3, ""score"": 0.5614757537841797}, {""doc_id"": ""os_tutorial"", ""page"": 194, ""chunk_id"": 1, ""score"": 0.5377610921859741}, {""doc_id"": ""os_tutorial"", ""page"": 194, ""chunk_id"": 2, ""score"": 0.5229280591011047}, {""doc_id"": ""os_tutorial"", ""page"": 274, ""chunk_id"": 3, ""score"": 0.5014228820800781}, {""doc_id"": ""os_tutorial"", ""page"": 41, ""chunk_id"": 0, ""score"": 0.5001511573791504}]"
程序计数器（PC）的作用是什么？,co,[22],0,0,0,0,0,0,"[{""doc_id"": ""os_tutorial"", ""page"": 39, ""chunk_id"": 3, ""score"": 0.6439728140830994}, {""doc_id"": ""co"", ""page"": 13, ""chunk_id"": 1, ""score"": 0.6368910074234009}, {""doc_id"": ""co"", ""page"": 333, ""chunk_id"": 1, ""score"": 0.6308720111846924}, {""doc_id"": ""co"", ""page"": 13, ""chunk_id"": 0, ""score"": 0.6301323175430298}, {""doc_id"": ""co"", ""page"": 331, ""chunk_id"": 2, ""score"": 0.6273671984672546}]"
什么是中断隐指令？,co,[364],0,0,0,0,0,0,"[{""doc_id"": ""co"", ""page"": 370, ""chunk_id"": 0, ""score"": 0.7022998332977295}, {""doc_id"": ""os_tutorial"", ""page"": 235, ""chunk_id"": 1, ""score"": 0.6953149437904358}, {""doc_id"": ""co"", ""page"": 369, ""chunk_id"": 1, ""score"": 0.6869497299194336}, {""doc_id"": ""co"", ""page"": 315, ""chunk_id"": 1, ""score"": 0.6813634634017944}, {""doc_id"": ""co"", ""page"": 377, ""chunk_id"": 0, ""score"": 0.6767078042030334}]"
什么是算术移位？,co,[240],0,1,1,0,1,1,"[{""doc_id"": ""co"", ""page"": 242, ""chunk_id"": 2, ""score"": 0.7166945934295654}, {""doc_id"": ""co"", ""page"": 242, ""chunk_id"": 1, ""score"": 0.6639033555984497}, {""doc_id"": ""co"", ""page"": 240, ""chunk_id"": 0, ""score"": 0.6502506136894226}, {""doc_id"": ""co"", ""page"": 313, ""chunk_id"": 0, ""score"": 0.6419172883033752}, {""doc_id"": ""co"", ""page"": 249, ""chunk_id"": 2, ""score"": 0.5880338549613953}]"
